場站代號,場站中文名稱,場站所屬行政區,中文地址,場站總停車格數,目前可借車輛數,目前可還空位數,資料更新時間,緯度,經度,場站營運狀態,"各車種可借數量明細(一般車,電輔車)",抓取時間
500601001,YouBike2.0_綠川東中山路口,中區,綠川東街/中山路口(東側),16,4,12,2026-08-21 15:03:03,24.13785,120.68337,1,"4,0",2026-08-21 15:12:29.741980
500601002,YouBike2.0_繼光光復路口,中區,繼光街166號(對側人行道),18,3,15,2026-08-21 15:02:02,24.1411,120.68474,1,"2,1",2026-08-21 15:12:29.741980
500601003,YouBike2.0_柳原教會,中區,興中街/福音街口(西南側),13,2,11,2026-08-21 15:11:03,24.145923,120.681301,1,"2,0",2026-08-21 15:12:29.741980
500601004,YouBike2.0_臺中車站(建國路),中區,建國路/中山路口(北側),79,60,18,2026-08-21 15:10:05,24.13746,120.68435,1,"47,13",2026-08-21 15:12:29.741980
500601005,YouBike2.0_柳川東中華路口,中區,柳川東路四段/中華路二段口(西北側),30,0,30,2026-08-21 14:58:16,24.14692,120.6783,1,"0,0",2026-08-21 15:12:29.741980
500601006,YouBike2.0_柳川西民權路口,中區,柳川西路三段2號(對側人行道),16,10,6,2026-08-21 15:02:02,24.14169,120.67568,1,"10,0",2026-08-21 15:12:29.741980
500601007,YouBike2.0_自由臺灣大道口,中區,自由路二段34號旁,24,19,5,2026-08-21 14:50:04,24.13988,120.68206,1,"18,1",2026-08-21 15:12:29.741980
500601008,YouBike2.0_興中立體停車場,中區,臺灣大道一段/興中街口(北側),50,16,34,2026-08-21 15:05:03,24.14343,120.6786,1,"16,0",2026-08-21 15:12:29.741980
500601009,YouBike2.0_繼光街中山路口,中區,繼光街/中山路口,20,4,11,2026-08-21 15:02:03,24.13856,120.68213,1,"4,0",2026-08-21 15:12:29.741980
500602001,YouBike2.0_大智機車停車場,東區,復興路四段212號(對側),22,7,14,2026-08-21 15:10:05,24.13657,120.68789,1,"7,0",2026-08-21 15:12:29.741980
500602002,YouBike2.0_秀泰生活S1館,東區,南京路/復興路四段(東北側),16,7,9,2026-08-21 15:06:02,24.14012,120.68933,1,"7,0",2026-08-21 15:12:29.741980
500602003,YouBike2.0_雙十南京路口(東北側),東區,雙十路一段/南京路口(東北側),13,1,12,2026-08-21 14:54:02,24.1402694,120.6860178,1,"0,1",2026-08-21 15:12:29.741980
500602004,YouBike2.0_帝國製糖廠,東區,進德路/樂業路口(西南側),20,5,15,2026-08-21 14:47:04,24.1386429,120.6924869,1,"5,0",2026-08-21 15:12:29.741980
500602005,YouBike2.0_中興大學附屬高農(中農附旅),東區,台中路287號前,15,3,12,2026-08-21 15:01:03,24.12688,120.6844,1,"3,0",2026-08-21 15:12:29.741980
500602006,YouBike2.0_精武車站,東區,東光路161號旁,56,30,21,2026-08-21 15:11:03,24.14956,120.69786,1,"30,0",2026-08-21 15:12:29.741980
500602007,YouBike2.0_臺中家商(大公街),東區,大公街47號(對側人行道),35,3,32,2026-08-21 14:51:03,24.13365,120.68569,1,"3,0",2026-08-21 15:12:29.741980
500602008,YouBike2.0_自由南京路口,東區,自由路/南京路口(南側),15,5,10,2026-08-21 14:43:02,24.14267,120.69625,1,"5,0",2026-08-21 15:12:29.741980
500602009,YouBike2.0_臺中國小(信義街),東區,信義街45號(對側人行道),50,6,44,2026-08-21 14:58:02,24.13212,120.68481,1,"6,0",2026-08-21 15:12:29.741980
500602010,YouBike2.0_忠孝公園,東區,忠孝路/大勇街(東北側),17,3,14,2026-08-21 14:50:04,24.13254,120.6888,1,"3,0",2026-08-21 15:12:29.741980
500602011,YouBike2.0_東門兒童公園,東區,東光園路/東光園路131巷口(西北側),20,0,20,2026-08-21 14:31:17,24.12784,120.69443,1,"0,0",2026-08-21 15:12:29.741980
500602012,YouBike2.0_六順多功能活動中心,東區,六順路26號(北側),20,6,13,2026-08-21 15:09:04,24.12514,120.69947,1,"6,0",2026-08-21 15:12:29.741980
500602013,YouBike2.0_樂成公園,東區,東英五街/東信街口(北側),17,2,15,2026-08-21 14:38:04,24.13637,120.70297,1,"2,0",2026-08-21 15:12:29.741980
500602014,YouBike2.0_東峰公園,東區,七中路/興大路口(東側),20,6,14,2026-08-21 15:01:03,24.12415,120.68503,1,"6,0",2026-08-21 15:12:29.741980
500602015,YouBike2.0_臺中車站(大智北路),東區,大智北路/新民街(西南側),36,3,22,2026-08-21 15:11:03,24.13777,120.68765,1,"3,0",2026-08-21 15:12:29.741980
500602016,YouBike2.0_臺中車站(復興路東側出口),東區,復興路四段149巷/復興路四段口(北側),98,12,86,2026-08-21 15:09:04,24.136,120.68631,1,"11,1",2026-08-21 15:12:29.741980
500602017,YouBike2.0_力行國小(進化路221巷),東區,進化路/進化路221巷口(西北側),20,2,18,2026-08-21 15:01:03,24.14999,120.69419,1,"2,0",2026-08-21 15:12:29.741980
500602018,YouBike2.0_進化精武路口(西南側),東區,進化路/精武路口(西南側),17,2,15,2026-08-21 14:14:03,24.14765,120.69417,1,"1,1",2026-08-21 15:12:29.741980
500602019,YouBike2.0_自由自由三街口,東區,自由路三段/自由三街口(東北側),18,6,12,2026-08-21 15:05:03,24.14269,120.69109,1,"6,0",2026-08-21 15:12:29.741980
500602020,YouBike2.0_進德國小(進化路),東區,進化路/福仁街口(西北側),19,0,19,2026-08-21 15:02:20,24.14428,120.69418,1,"0,0",2026-08-21 15:12:29.741980
500602021,YouBike2.0_東英停車場(一心街),東區,一心街/東英九街(西北側),47,3,43,2026-08-21 15:01:03,24.14227,120.70204,1,"3,0",2026-08-21 15:12:29.741980
500602022,YouBike2.0_十甲里等三里多功能活動中心,東區,東英七街41號,19,0,19,2026-08-21 13:29:16,24.14113,120.70408,1,"0,0",2026-08-21 15:12:29.741980
500602023,YouBike2.0_仁和大智路口(西南側),東區,仁和路/大智路口(西南側),11,7,4,2026-08-21 15:00:05,24.12628,120.68984,1,"7,0",2026-08-21 15:12:29.741980
500602024,YouBike2.0_東峰國中(仁和路),東區,仁和路330號(東側人行道),20,13,7,2026-08-21 13:00:03,24.1263,120.68724,1,"13,0",2026-08-21 15:12:29.741980
500602025,YouBike2.0_東光園大智路口(東北側),東區,東光園路22號(對面側人行道),33,0,0,2026-08-06 22:05:17,24.12473,120.69065,0,"0,0",2026-08-21 15:12:29.741980
500602026,YouBike2.0_新建國市場(1號門)(樂業二路),東區,樂業二路/樂業南路口(西北側),37,6,31,2026-08-21 14:54:02,24.13497,120.69486,1,"6,0",2026-08-21 15:12:29.741980
500602027,YouBike2.0_樂業國小(樂業南路),東區,樂業路60號(西側人行道),20,0,20,2026-08-21 14:22:21,24.13803,120.695,1,"0,0",2026-08-21 15:12:29.741980
500602028,YouBike2.0_福聯新城,東區,精武路217巷/富榮街口(西側),20,0,20,2026-08-21 14:45:17,24.14554,120.69098,1,"0,0",2026-08-21 15:12:29.741980
500602029,YouBike2.0_東英公園(樂業路),東區,樂業路/喬城三街口(東北側),15,7,8,2026-08-21 12:58:03,24.13586,120.70844,1,"7,0",2026-08-21 15:12:29.741980
500602030,YouBike2.0_旱溪停車場(旱溪街),東區,旱溪街/德興一街口(東北側),31,5,26,2026-08-21 12:10:04,24.14083,120.70949,1,"5,0",2026-08-21 15:12:29.741980
500602031,YouBike2.0_三賢停車場,東區,十甲路/東英十一街口(東南側),13,4,9,2026-08-21 14:33:05,24.14413,120.7112,1,"4,0",2026-08-21 15:12:29.741980
500602032,YouBike2.0_進業公園(東英十五街),東區,東英十五街/十甲東路口(西北側),50,3,47,2026-08-21 14:10:02,24.14624,120.70924,1,"3,0",2026-08-21 15:12:29.741980
500602033,YouBike2.0_家庭教育中心(東英十七街),東區,東英十七街/三賢街口(西南側),23,4,19,2026-08-21 14:55:03,24.14793,120.7075,1,"4,0",2026-08-21 15:12:29.741980
500602034,YouBike2.0_南京東十甲路口,東區,南京東路/十甲路口(東北側),15,0,15,2026-08-21 15:06:17,24.14481,120.69702,1,"0,0",2026-08-21 15:12:29.741980
500602035,YouBike2.0_力行國小,東區,力行路/進化路口(西南側),33,8,25,2026-08-21 15:08:02,24.15157,120.69372,1,"8,0",2026-08-21 15:12:29.741980
500602036,YouBike2.0_進德國小,東區,進化路158號(對側人行道),32,1,31,2026-08-21 15:11:18,24.14607,120.69429,1,"1,0",2026-08-21 15:12:29.741980
500602037,YouBike2.0_大智國小(建德街),東區,建德街181號(對側人行道),15,8,7,2026-08-21 15:09:04,24.12959,120.69144,1,"8,0",2026-08-21 15:12:29.741980
500602038,YouBike2.0_東福公園(東英一街),東區,東英一街62號(對側人行道),35,1,34,2026-08-21 15:01:03,24.13411,120.70382,1,"1,0",2026-08-21 15:12:29.741980
500602039,YouBike2.0_旱溪東東英三街口,東區,旱溪東路一段306號前,20,5,15,2026-08-21 14:44:03,24.13556,120.70097,1,"5,0",2026-08-21 15:12:29.741980
500602041,YouBike2.0_大智國小,東區,建德街/大智路口(東南側),26,11,15,2026-08-21 15:00:05,24.12956,120.69059,1,"11,0",2026-08-21 15:12:29.741980
500602042,YouBike2.0_東峰公園(仁和路),東區,仁和路/立德東街口(西側),26,4,22,2026-08-21 15:00:05,24.12627,120.68827,1,"4,0",2026-08-21 15:12:29.741980
500602043,YouBike2.0_中興大學附屬高農,東區,台中路283號前,46,0,46,2026-08-21 15:02:20,24.12861,120.68491,1,"0,0",2026-08-21 15:12:29.741980
500602044,YouBike2.0_長福公園,東區,長福路/旱溪東路一段口(東北側),22,3,19,2026-08-21 14:18:03,24.14402,120.70205,1,"3,0",2026-08-21 15:12:29.741980
500602045,YouBike2.0_東光園振興路口,東區,東光園路/振興路口(西北側),36,3,32,2026-08-21 14:32:04,24.13333,120.69708,1,"3,0",2026-08-21 15:12:29.741980
500602046,YouBike2.0_秀泰廣場,東區,南京路/自由三街口(東北側),30,22,8,2026-08-21 15:04:03,24.1401,120.6913,1,"22,0",2026-08-21 15:12:29.741980
500602047,YouBike2.0_樂利公園,東區,十甲東路/東英六街口(東南側),32,5,27,2026-08-21 13:31:05,24.13885,120.70752,1,"4,1",2026-08-21 15:12:29.741980
500602048,YouBike2.0_樂成宮,東區,旱溪一街/東光路口(東北側),27,4,22,2026-08-21 15:10:05,24.14097,120.6969,1,"4,0",2026-08-21 15:12:29.741980
500602049,YouBike2.0_新建國市場(5號門),東區,進德路/建成路口(東北側),30,6,24,2026-08-21 14:13:02,24.13401,120.69385,1,"6,0",2026-08-21 15:12:29.741980
500602050,YouBike2.0_建成樂業路口,東區,建成路356號(對側人行道),20,6,14,2026-08-21 14:48:03,24.13858,120.69669,1,"6,0",2026-08-21 15:12:29.741980
500602051,YouBike2.0_綠空廊道(南京泉源街口西南側),東區,南京路/泉源街口(西南側),13,5,8,2026-08-21 14:48:03,24.14081,120.69434,1,"5,0",2026-08-21 15:12:29.741980
500602052,YouBike2.0_綠空廊道(南京泉源街口東南側),東區,南京路/泉源街口(東南側),19,8,11,2026-08-21 15:09:04,24.140901,120.694408,1,"8,0",2026-08-21 15:12:29.741980
500602053,YouBike2.0_綠空廊道(精武東光路口),東區,精武路/東光路口(西南側),10,8,2,2026-08-21 14:51:03,24.147882,120.697793,1,"8,0",2026-08-21 15:12:29.741980
500602054,YouBike2.0_建德東光園路口,東區,建德街/東光園路口(南側),15,1,14,2026-08-21 14:43:16,24.12953,120.69679,1,"1,0",2026-08-21 15:12:29.741980
500602055,YouBike2.0_樂業寵物公園,東區,樂業一路/進德路口(東南側),20,9,10,2026-08-21 15:02:02,24.1368,120.693,1,"9,0",2026-08-21 15:12:29.741980
500602056,YouBike2.0_帝國製糖廠(復興東路),東區,復興東路/復興路四段口(東南側),20,5,15,2026-08-21 14:25:04,24.13835,120.69013,1,"5,0",2026-08-21 15:12:29.741980
500602057,YouBike2.0_育英公園,東區,旱溪西路一段/旱溪西路一段365巷(西南側),15,3,12,2026-08-21 14:42:02,24.13802,120.69995,1,"3,0",2026-08-21 15:12:29.741980
500602058,YouBike2.0_臺中轉運站,東區,大智北路/八德街口(西北側),40,10,30,2026-08-21 14:44:03,24.13887,120.68755,1,"10,0",2026-08-21 15:12:29.741980
500602059,YouBike2.0_美好莊園_夏卡爾社區,東區,東福二街/東福路口(東南側),19,4,15,2026-08-21 15:08:02,24.12804,120.69932,1,"4,0",2026-08-21 15:12:29.741980
500602060,YouBike2.0_東英自由路口,東區,東英路/自由路四段口,11,8,3,2026-08-21 15:01:03,24.143046,120.705976,1,"8,0",2026-08-21 15:12:29.741980
500602062,YouBike2.0_興大七中路口,東區,興大路/七中路(西側),20,0,20,2026-08-21 14:19:17,24.123836,120.684809,1,"0,0",2026-08-21 15:12:29.741980
500602063,YouBike2.0_仁和公園,東區,東光園仁和路口(西南側),15,1,14,2026-08-21 15:03:03,24.126275,120.693214,1,"1,0",2026-08-21 15:12:29.741980
500602064,YouBike2.0_大智公園(立德東街),東區,立德東街亞洲街口(北側),17,8,9,2026-08-21 15:05:03,24.124883,120.688892,1,"8,0",2026-08-21 15:12:29.741980
500602066,YouBike2.0_大興建功街口,東區,大興街26號(東南側),10,0,10,2026-07-12 00:01:03,24.130346,120.693039,0,"0,0",2026-08-21 15:12:29.741980
500602067,YouBike2.0_第一廣場公園,東區,公園東路150號,16,3,13,2026-08-21 15:02:03,24.14148,120.68707,1,"3,0",2026-08-21 15:12:29.741980
500602068,YouBike2.0_家庭教育中心(三賢街),東區,三賢街/十甲東二街口(西北側),14,4,10,2026-08-21 15:00:05,24.14749,120.70786,1,"4,0",2026-08-21 15:12:29.741980
500602069,YouBike2.0_旱平公園,東區,十甲東路/東英八街口(西南側),15,1,14,2026-08-21 15:01:03,24.14165,120.70849,1,"1,0",2026-08-21 15:12:29.741980
500602070,YouBike2.0_中興大學附屬高農(建中街),東區,建中街/台中路口(東南側),28,6,22,2026-08-21 15:11:03,24.12889,120.68516,1,"6,0",2026-08-21 15:12:29.741980
500602071,YouBike2.0_樂業二路復興東一街口,東區,樂業二路/復興東一路口,40,8,32,2026-08-21 15:11:03,24.13476,120.69133,1,"8,0",2026-08-21 15:12:29.741980
500602072,YouBike2.0_東光園樂業一路口,東區,東光園路452號對側,13,2,9,2026-08-21 15:01:03,24.13683,120.69702,1,"2,0",2026-08-21 15:12:29.741980
500602073,YouBike2.0_福仁自由二街口,東區,自由二街85號,16,7,9,2026-08-21 15:11:03,24.14461,120.68746,1,"7,0",2026-08-21 15:12:29.741980
500602074,YouBike2.0_福仁富台東街口,東區,福仁街78號對側,23,0,23,2026-08-21 14:58:16,24.14417,120.69073,1,"0,0",2026-08-21 15:12:29.741980
500602075,YouBike2.0_建興大振街口,東區,建興街58號對側,20,4,16,2026-08-21 13:43:03,24.12771,120.69095,1,"4,0",2026-08-21 15:12:29.741980
500602077,YouBike2.0_忠孝教會(忠孝路),東區,忠孝路288號(西側),20,9,11,2026-08-21 14:51:03,24.131622,120.687061,1,"9,0",2026-08-21 15:12:29.741980
500602079,YouBike2.0_東光力行路口,東區,東光路210號對側,23,2,21,2026-08-21 15:09:04,24.15078,120.69823,1,"2,0",2026-08-21 15:12:29.741980
500602081,YouBike2.0_大智北南京路口,東區,大智北路/南京路口,42,7,35,2026-08-21 14:56:02,24.13964,120.68768,1,"7,0",2026-08-21 15:12:29.741980
500602082,YouBike2.0_立德地下停車場,東區,立德街67巷/和平街158巷口(西南側),32,2,30,2026-08-21 14:53:02,24.133868,120.68723,1,"2,0",2026-08-21 15:12:29.741980
500602084,YouBike2.0_十甲旺市場,東區,旱溪西路一段523巷/旱溪西路一段口,18,4,14,2026-08-21 14:49:05,24.14534,120.69904,1,"4,0",2026-08-21 15:12:29.741980
500602085,YouBike2.0_旱溪東振興路口,東區,旱溪東路一段/振興路口(西北側),25,4,21,2026-08-21 12:56:03,24.13321,120.70013,1,"4,0",2026-08-21 15:12:29.741980
500602086,YouBike2.0_十甲公園,東區,東英路697號,16,4,12,2026-08-21 14:10:02,24.14770,120.70615,1,"3,1",2026-08-21 15:12:29.741980
500602088,YouBike2.0_南京進德路口,東區,南京路/進德路口,22,2,20,2026-08-21 15:10:05,24.13992,120.69274,1,"2,0",2026-08-21 15:12:29.741980
500603001,YouBike2.0_忠明國小(台灣大道),西區,台灣大道二段556號,25,5,20,2026-08-21 15:03:03,24.15803,120.65868,1,"5,0",2026-08-21 15:12:29.741980
500603003,YouBike2.0_萬壽公園(向上南路),西區,大墩路/大墩八街口(東南側),15,5,10,2026-08-21 14:55:03,24.1455119,120.6499188,1,"5,0",2026-08-21 15:12:29.741980
500603005,YouBike2.0_國立臺灣美術館(五權西路),西區,五權西路一段/五權西一街口(西北側),18,2,16,2026-08-21 15:05:03,24.14023,120.66374,1,"2,0",2026-08-21 15:12:29.741980
500603006,YouBike2.0_臺中市政府交通局,西區,民權路101號,18,14,4,2026-08-21 15:11:03,24.13989,120.67705,1,"13,1",2026-08-21 15:12:29.741980
500603007,YouBike2.0_美術館園道(五權五街),西區,五權五街/五權西三街口(西南側),20,5,15,2026-08-21 14:57:02,24.1365,120.66279,1,"4,1",2026-08-21 15:12:29.741980
500603008,YouBike2.0_光明國中,西區,自由路一段75號,50,7,43,2026-08-21 15:02:02,24.1322,120.67316,1,"7,0",2026-08-21 15:12:29.741980
500603009,YouBike2.0_梅川東民生路口,西區,梅川東路一段/民生路口(北側),20,4,16,2026-08-21 15:06:02,24.14482,120.66901,1,"4,0",2026-08-21 15:12:29.741980
500603010,YouBike2.0_梅川西臺灣大道二段口,西區,梅川西路一段/臺灣大道二段口(南側),20,10,10,2026-08-21 15:11:03,24.14949736,120.6710024,1,"10,0",2026-08-21 15:12:29.741980
500603011,YouBike2.0_臺灣大道大仁街口(東南側),西區,臺灣大道二段250號前,13,7,6,2026-08-21 14:12:04,24.15278,120.6678,1,"7,0",2026-08-21 15:12:29.741980
500603012,YouBike2.0_綠十八公園,西區,忠明南路240-9號,15,1,14,2026-08-21 14:33:18,24.14143,120.65719,1,"1,0",2026-08-21 15:12:29.741980
500603013,YouBike2.0_自立停車場,西區,自立街33號,20,3,17,2026-08-21 14:52:03,24.13944,120.67177,1,"3,0",2026-08-21 15:12:29.741980
500603014,YouBike2.0_經國園道(向上路),西區,向上路一段/英才路口(西南側),24,0,24,2026-08-21 14:58:02,24.14663,120.66489,1,"0,0",2026-08-21 15:12:29.741980
500603015,YouBike2.0_經國園道(向上北路),西區,向上北路/公益路155巷口(東南側),21,0,21,2026-08-21 15:00:23,24.14784,120.66452,1,"0,0",2026-08-21 15:12:29.741980
500603016,YouBike2.0_草悟道(公益路155巷),西區,公益路155巷/公正路口(西南側),18,4,14,2026-08-21 15:06:02,24.1488,120.66434,1,"4,0",2026-08-21 15:12:29.741980
500603017,YouBike2.0_臺中市民廣場(中興街),西區,中興街165號(對側人行道),76,15,61,2026-08-21 15:10:05,24.14961,120.66307,1,"15,0",2026-08-21 15:12:29.741980
500603018,YouBike2.0_西區社會福利服務中心,西區,五權五街283號,15,7,8,2026-08-21 14:59:03,24.13642,120.65515,1,"7,0",2026-08-21 15:12:29.741980
500603019,YouBike2.0_忠明公園,西區,華美街/長春街口(南側),19,8,11,2026-08-21 15:11:03,24.15459,120.65979,1,"8,0",2026-08-21 15:12:29.741980
500603020,YouBike2.0_美術園道(五權七街),西區,五權七街/五權西四街口(東北側),23,6,17,2026-08-21 15:01:03,24.13521,120.66283,1,"6,0",2026-08-21 15:12:29.741980
500603021,YouBike2.0_公館公園(自由路),西區,自由路一段/三民路一段口,38,4,34,2026-08-21 14:59:03,24.13214,120.66928,1,"4,0",2026-08-21 15:12:29.741980
500603022,YouBike2.0_忠誠公園(忠明路),西區,忠明路/華美西街一段口(西南側),28,3,25,2026-08-21 14:29:03,24.16109,120.66275,1,"3,0",2026-08-21 15:12:29.741980
500603023,YouBike2.0_美術園道(五權一街),西區,五權一街/五權西四街口(東北側),17,0,17,2026-08-21 15:00:23,24.13934,120.66284,1,"0,0",2026-08-21 15:12:29.741980
500603024,YouBike2.0_茄苳腳(梅川西路),西區,梅川西路二段/博館二街口(南側),66,11,55,2026-08-21 15:10:05,24.15039,120.67139,1,"10,1",2026-08-21 15:12:29.741980
500603025,YouBike2.0_樂群公園(柳川東路),西區,柳川東路二段/大新街口(西南側),15,4,11,2026-08-21 15:05:03,24.135563,120.666895,1,"4,0",2026-08-21 15:12:29.741980
500603026,YouBike2.0_廣十地下停車場,西區,四維街/柳川西路二段口(東北側),21,15,6,2026-08-21 15:09:04,24.140833,120.671917,1,"15,0",2026-08-21 15:12:29.741980
500603027,YouBike2.0_林森停車場,西區,貴和街/公館路46巷口(東側),34,11,23,2026-08-21 15:07:05,24.134047,120.673314,1,"11,0",2026-08-21 15:12:29.741980
500603028,YouBike2.0_綠空廊道(建國北學府路口),西區,建國北路三段/學府路口(西南側),24,7,17,2026-08-21 15:05:03,24.131519,120.672627,1,"6,1",2026-08-21 15:12:29.741980
500603029,YouBike2.0_上公館公園(五權路),西區,五權路/公館路口(東南側),11,7,4,2026-08-21 14:51:03,24.136182,120.66582,1,"7,0",2026-08-21 15:12:29.741980
500603030,YouBike2.0_公益公園(公益路),西區,公益路/忠明南路(東南側),39,7,32,2026-08-21 15:07:05,24.1508,120.65776,1,"7,0",2026-08-21 15:12:29.741980
500603031,YouBike2.0_存中中美街口(東南側),西區,存中街/中美街口(東南側),20,6,14,2026-08-21 14:59:03,24.14151,120.66027,1,"6,0",2026-08-21 15:12:29.741980
500603032,YouBike2.0_公益精誠路口(西北側),西區,公益路/精誠路口(西北側),11,1,10,2026-08-21 15:11:18,24.150976,120.654952,1,"1,0",2026-08-21 15:12:29.741980
500603033,YouBike2.0_萬壽棒球場(向上路),西區,向上路一段/大進街口(西南側),42,2,40,2026-08-21 15:04:03,24.1466031,120.6507125,1,"2,0",2026-08-21 15:12:29.741980
500603034,YouBike2.0_臺中教育大學(英才校區),西區,民生路/民生路225巷口(西南側),18,3,15,2026-08-21 15:10:05,24.144309,120.667731,1,"2,1",2026-08-21 15:12:29.741980
500603035,YouBike2.0_大益公園,西區,大墩十一街64號(對側人行道),10,3,7,2026-08-21 15:05:03,24.14879,120.65278,1,"3,0",2026-08-21 15:12:29.741980
500603036,YouBike2.0_館前臺灣大道二段口,西區,館前路/臺灣大道二段口(西南側),28,19,9,2026-08-21 15:10:05,24.153911,120.663823,1,"19,0",2026-08-21 15:12:29.741980
500603037,YouBike2.0_公益公園,西區,忠明南路/華美西街一段口(東北側),20,5,15,2026-08-21 15:07:05,24.15007,120.65752,1,"5,0",2026-08-21 15:12:29.741980
500603038,YouBike2.0_忠明國小,西區,臺灣大道二段/忠明南路口(西南側),32,20,12,2026-08-21 15:09:04,24.15676,120.65917,1,"20,0",2026-08-21 15:12:29.741980
500603039,YouBike2.0_科博館/金典酒店,西區,臺灣大道一段/健行路口(東北側),52,10,42,2026-08-21 15:09:04,24.15552,120.66304,1,"9,1",2026-08-21 15:12:29.741980
500603040,YouBike2.0_大墩文化中心,西區,五權路/英才路口(西側),40,16,24,2026-08-21 15:01:03,24.14124,120.66653,1,"16,0",2026-08-21 15:12:29.741980
500603041,YouBike2.0_臺中教育大學,西區,五權路/民權路口(西南側),32,6,26,2026-08-21 15:10:05,24.14521,120.67118,1,"5,1",2026-08-21 15:12:29.741980
500603042,YouBike2.0_中山地政事務所,西區,三民路一段/三民路一段156巷口(東北側),34,21,12,2026-08-21 15:10:05,24.13654,120.6737,1,"21,0",2026-08-21 15:12:29.741980
500603043,YouBike2.0_大忠公園,西區,精誠三十街/大忠街口(東北側),30,2,28,2026-08-21 14:58:02,24.14338,120.6562,1,"1,1",2026-08-21 15:12:29.741980
500603044,YouBike2.0_臺中女中,西區,自由路一段/康樂街口(西北側),40,24,16,2026-08-21 15:08:02,24.13557,120.67733,1,"24,0",2026-08-21 15:12:29.741980
500603045,YouBike2.0_中正國小,西區,英才路423號前,37,7,29,2026-08-21 15:01:03,24.15248,120.66628,1,"6,1",2026-08-21 15:12:29.741980
500603046,YouBike2.0_五權西忠明南路口,西區,五權西路一段/忠明南路口(西南側),32,3,29,2026-08-21 14:57:02,24.13977,120.65708,1,"2,1",2026-08-21 15:12:29.741980
500603047,YouBike2.0_臺中州廳,西區,市府路/民權路口(西南側),42,8,10,2026-08-21 15:05:03,24.13829,120.67875,1,"7,1",2026-08-21 15:12:29.741980
500603048,YouBike2.0_精誠大墩四街口,西區,精誠路/大墩四街口(東側),32,4,28,2026-08-21 15:07:05,24.140527,120.654664,1,"4,0",2026-08-21 15:12:29.741980
500603049,YouBike2.0_國立臺灣美術館,西區,五權西路一段/美村路一段口(東北側),40,4,36,2026-08-21 15:10:05,24.14104,120.66177,1,"4,0",2026-08-21 15:12:29.741980
500603050,YouBike2.0_經國園道,西區,向上路一段/英才路口(西北側),40,1,39,2026-08-21 15:11:18,24.14677,120.66477,1,"1,0",2026-08-21 15:12:29.741980
500603051,YouBike2.0_民生英才路口,西區,民生路/英才路口(西北側),46,9,37,2026-08-21 15:09:04,24.14435,120.6648,1,"9,0",2026-08-21 15:12:29.741980
500603052,YouBike2.0_土庫公園,西區,五權五街/五權西六街136巷口(西南側),26,12,14,2026-08-21 15:07:05,24.1364,120.65788,1,"12,0",2026-08-21 15:12:29.741980
500603053,YouBike2.0_美術園道,西區,五權七街/五權西四街口(東南側),34,7,27,2026-08-21 14:28:02,24.13508,120.66293,1,"7,0",2026-08-21 15:12:29.741980
500603054,YouBike2.0_公益精誠路口(西南側),西區,公益路347號前,16,8,8,2026-08-21 15:11:03,24.15077,120.6549,1,"8,0",2026-08-21 15:12:29.741980
500603055,YouBike2.0_西區忠勤公園,西區,忠勤街/忠仁路163巷口(南側),14,2,12,2026-08-21 15:03:03,24.1427,120.66957,1,"2,0",2026-08-21 15:12:29.741980
500603056,YouBike2.0_五權三五權西二街口,西區,五權三街/五權西二街口(東南側),15,0,15,2026-08-21 15:04:22,24.13791,120.66392,1,"0,0",2026-08-21 15:12:29.741980
500603057,YouBike2.0_忠明南民生路口,西區,忠明南路/民生路口(西北側),18,6,12,2026-08-21 14:41:03,24.14452,120.65716,1,"6,0",2026-08-21 15:12:29.741980
500603058,YouBike2.0_民權梅川東路口,西區,民權路/梅川東路口(東北側),23,0,23,2026-08-21 15:01:20,24.14629,120.67042,1,"0,0",2026-08-21 15:12:29.741980
500603059,YouBike2.0_臺中市民廣場(公益路155巷),西區,公益路155巷/公益路口(西南側),39,12,27,2026-08-21 15:07:05,24.150648,120.66422,1,"11,1",2026-08-21 15:12:29.741980
500603060,YouBike2.0_東昇公園,西區,朝陽街/大全街口(東南側),19,4,15,2026-08-21 14:51:03,24.135,120.670649,1,"4,0",2026-08-21 15:12:29.741980
500603061,YouBike2.0_藍興公園,西區,大新街46號(對側人行道),14,5,9,2026-08-21 15:06:03,24.134175,120.668472,1,"5,0",2026-08-21 15:12:29.741980
500603062,YouBike2.0_柳川東南屯路口(南北兩側),西區,柳川東路二段/南屯路一段口(南北兩側),19,3,16,2026-08-21 15:10:05,24.132188,120.663239,1,"3,0",2026-08-21 15:12:29.741980
500603064,YouBike2.0_忠明高中,西區,博館路/健行路口(西北側),47,0,47,2026-08-21 15:09:58,24.157768,120.66358,1,"0,0",2026-08-21 15:12:29.741980
500603066,YouBike2.0_建國台中路口,西區,建國路/台中路口(西南側),18,7,11,2026-08-21 15:07:05,24.135622,120.682066,1,"7,0",2026-08-21 15:12:29.741980
500603067,YouBike2.0_綠空廊道(康樂街),西區,建國路/康樂街口(東南側),13,5,8,2026-08-21 15:09:04,24.13385,120.67825,1,"5,0",2026-08-21 15:12:29.741980
500603068,YouBike2.0_綠空廊道(林森路),西區,建國北路三段/林森路口(西南側),15,5,10,2026-08-21 15:06:03,24.13283,120.67592,1,"5,0",2026-08-21 15:12:29.741980
